ensembl_gene_id	description
LOC409764	uncharacterized LOC409764, transcript variant X2
LOC107965194	uncharacterized LOC107965194, transcript variant X2
LOC100576277	uncharacterized LOC100576277, transcript variant X1
LOC100577300	surfeit locus protein 6 homolog
LOC102655740	mitochondrial import receptor subunit TOM40 homolog 1-like
LOC409364	CD2-associated protein
LOC102656229	uncharacterized LOC102656229
LOC102653803	uncharacterized LOC102653803
LOC409954	peroxiredoxin 1
LOC113219292	uncharacterized LOC113219292
LOC413186	mitochondrial pyruvate carrier 3
LOC411763	DNA polymerase subunit gamma-1, mitochondrial
LOC100577197	uncharacterized LOC100577197, transcript variant X1
LOC725826	caseinolytic peptidase B protein homolog
LOC413757	uncharacterized protein MAL13P1.304, transcript variant X3
LOC552036	suppressor of cytokine signaling 5, transcript variant X1
NC_001566.1:6119..6184_df_g	tRNA-Gly
GeneID_411166	krueppel
LOC411234	aryl hydrocarbon receptor nuclear translocator homolog, transcript variant X3
LOC726124	segmentation protein Runt
LOC102654883	uncharacterized LOC102654883
LOC102656425	CDGSH iron-sulfur domain-containing protein 3, mitochondrial
LOC100576801	malate dehydrogenase, cytoplasmic, transcript variant X3
LOC412020	peroxisomal acyl-coenzyme A oxidase 3, transcript variant X1
LOC409639	UPF0183 protein CG7083
LOC409931	protein FAM69C, transcript variant X1
GeneID_494501	troponin C type IIb
LOC412710	trafficking protein particle complex subunit 3
LOC410479	zwei Ig domain protein zig-8
LOC551224	aminopeptidase N, transcript variant X1
GeneID_408450	glutamate-gated chloride channel
LOC102656282	uncharacterized LOC102656282
GeneID_107965137	tRNA-Thr
LOC551849	L-galactose dehydrogenase, transcript variant X2
LOC551143	inositol-3-phosphate synthase 1-B, transcript variant X1
LOC102655185	serine-rich adhesin for platelets-like, transcript variant X1
LOC410733	glucose dehydrogenase [FAD, quinone], transcript variant X1
LOC410324	villin-like protein quail, transcript variant X2
LOC411816	cytoplasmic dynein 1 light intermediate chain 1, transcript variant X1
LOC100578929	uncharacterized LOC100578929
LOC113218952	uncharacterized LOC113218952
LOC552845	vacuolar protein sorting-associated protein 51 homolog
LOC102654745	uncharacterized LOC102654745, transcript variant X1
LOC102653792	uncharacterized LOC102653792, transcript variant X2
LOC411809	enolase-phosphatase E1
LOC102655020	uncharacterized LOC102655020, transcript variant X1
LOC552101	uncharacterized LOC552101, transcript variant X1
LOC409285	myosin heavy chain 95F, transcript variant X4
LOC410237	uncharacterized LOC410237, transcript variant X6
LOC726180	transcription factor Sox-19b-like, transcript variant X2
LOC113218692	5S ribosomal RNA
LOC113219413	probable small nuclear ribonucleoprotein Sm D2
LOC113219136	transmembrane protein 177, transcript variant X2
LOC551811	graves disease carrier protein homolog
LOC552017	alpha-catulin, transcript variant X4
LOC552365	protein lines
LOC113219264	uncharacterized LOC113219264
LOC409361	dopamine N-acetyltransferase, transcript variant X2
LOC102656556	uncharacterized LOC102656556
LOC550827	tubulin alpha-1 chain
LOC113219252	uncharacterized LOC113219252, transcript variant X2
LOC100576361	uncharacterized protein C1orf194, transcript variant X2
LOC102654351	uncharacterized LOC102654351
LOC724912	anoctamin-1-like, transcript variant X5
LOC412371	CCR4-NOT transcription complex subunit 1, transcript variant X1
LOC725336	longitudinals lacking protein, isoforms A/B/D/L, transcript variant X46
LOC725025	peroxisome biogenesis factor 10, transcript variant X1
LOC100576355	uncharacterized LOC100576355, transcript variant X4
LOC113219418	uncharacterized LOC113219418
LOC412035	condensin complex subunit 1, transcript variant X1
LOC102656685	39S ribosomal protein L42, mitochondrial, transcript variant X1
LOC100579026	uncharacterized LOC100579026, transcript variant X2
LOC113218814	uncharacterized LOC113218814, transcript variant X2
LOC107965200	uncharacterized LOC107965200
LOC113218570	peroxisome biogenesis factor 10-like, transcript variant X1
LOC100576826	LHFPL tetraspan subfamily member 5 protein, transcript variant X2
LOC113218657	uncharacterized LOC113218657
LOC102654074	odorant receptor 85b-like
LOC113218652	histone-lysine N-methyltransferase SETMAR-like
LOC102654085	uncharacterized LOC102654085
LOC552577	junctophilin-1, transcript variant X1
LOC100578194	uncharacterized LOC100578194
LOC113218740	uncharacterized LOC113218740
LOC408336	exonuclease mut-7 homolog, transcript variant X2
LOC408754	TNF receptor-associated factor 4, transcript variant X2
LOC409235	neurotrimin
LOC102655228	uncharacterized LOC102655228
LOC412315	ran-specific GTPase-activating protein, transcript variant X1
LOC100577777	cysteine-rich venom protein 1, transcript variant X1
LOC100576737	uncharacterized LOC100576737, transcript variant X1
LOC550739	serine/threonine-protein kinase PLK4, transcript variant X1
LOC726353	uncharacterized LOC726353, transcript variant X2
LOC724783	uncharacterized LOC724783
LOC102656890	thioredoxin domain-containing protein 17-like
LOC551217	high affinity copper uptake protein 1, transcript variant X3
LOC725905	pre-mRNA-splicing factor 18
LOC412816	syntaxin-7, transcript variant X3
LOC551856	adenosine kinase
LOC727185	serine/threonine-protein kinase SMG1, transcript variant X2
LOC552715	U5 small nuclear ribonucleoprotein 40 kDa protein
LOC410851	bicaudal D-related protein homolog
LOC413494	protein VAC14 homolog
LOC726566	WD repeat-containing protein 60, transcript variant X1
GeneID_409889	alpha glucosidase 2
LOC107965418	uncharacterized LOC107965418
LOC107964488	uncharacterized LOC107964488
LOC724455	T-complex protein 11-like protein 1, transcript variant X4
LOC102656142	protein zwilch homolog
LOC100578752	uncharacterized LOC100578752
LOC725659	39S ribosomal protein L35, mitochondrial
LOC726044	unconventional myosin-XVIIIa, transcript variant X1
LOC408623	endophilin-A, transcript variant X2
LOC100578543	uncharacterized LOC100578543
LOC102656553	uncharacterized LOC102656553, transcript variant X2
LOC552686	breast cancer metastasis-suppressor 1-like protein, transcript variant X1
LOC409860	GPI ethanolamine phosphate transferase 3, transcript variant X1
LOC551769	grpE protein homolog, mitochondrial
LOC724593	transcriptional regulator ATRX homolog, transcript variant X1
LOC725127	uncharacterized LOC725127, transcript variant X2
LOC552832	glycine N-methyltransferase
LOC724583	uncharacterized LOC724583, transcript variant X2
LOC102653698	uncharacterized LOC102653698
LOC102655167	uncharacterized LOC102655167, transcript variant X2
LOC409347	U4/U6.U5 tri-snRNP-associated protein 1, transcript variant X2
LOC725840	lachesin-like, transcript variant X1
LOC412641	EF-hand domain-containing family member C2, transcript variant X2
LOC413404	ribosome biogenesis protein WDR12 homolog, transcript variant X2
LOC413052	uncharacterized LOC413052, transcript variant X2
LOC725861	odorant receptor 22
LOC102656595	uncharacterized LOC102656595
LOC102654314	uncharacterized LOC102654314
LOC552835	glutaredoxin-related protein 5, mitochondrial, transcript variant X2
LOC410353	CUGBP Elav-like family member 4, transcript variant X11
LOC409532	NAD-dependent protein deacetylase Sirt2, transcript variant X2
LOC102655663	putative gustatory receptor 28b
LOC409990	coatomer subunit beta'
LOC100576932	uncharacterized LOC100576932
LOC102653680	centrosomal protein of 78 kDa-like
LOC412722	protein singed, transcript variant X2
LOC551647	uncharacterized LOC551647, transcript variant X6
LOC411361	protein tramtrack, beta isoform, transcript variant X5
LOC409208	bumetanide-sensitive sodium-(potassium)-chloride cotransporter
LOC113218599	uncharacterized LOC113218599, transcript variant X2
LOC100578931	activating signal cointegrator 1 complex subunit 2, transcript variant X4
LOC100576706	peptidyl-prolyl cis-trans isomerase D, transcript variant X1
LOC412394	alpha-L-fucosidase, transcript variant X1
GeneID_107965769	tRNA-Asp
LOC113219227	uncharacterized LOC113219227
LOC113219051	uncharacterized LOC113219051
GeneID_107964926	tRNA-Gly
GeneID_107966081	tRNA-Arg
LOC725068	dynein heavy chain, cytoplasmic, transcript variant X10
LOC102654860	uncharacterized LOC102654860, transcript variant X2
LOC410806	histidine--tRNA ligase, cytoplasmic, transcript variant X3
LOC724203	ribosome biogenesis protein BRX1 homolog
LOC551012	cation-independent mannose-6-phosphate receptor, transcript variant X2
LOC102656055	uncharacterized LOC102656055
LOC724395	mucin-3A
LOC410177	phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1, transcript variant X3
LOC102656271	uncharacterized LOC102656271, transcript variant X1
LOC726647	uncharacterized LOC726647
LOC725832	beta-1,3-glucan-binding protein 1
LOC551897	Bardet-Biedl syndrome 4 protein homolog, transcript variant X7
LOC410557	ATP synthase subunit d, mitochondrial
LOC409790	multiple coagulation factor deficiency protein 2 homolog
LOC725368	probable serine/threonine-protein kinase DDB_G0283337
LOC113219007	zinc finger protein 524-like
LOC724904	acylphosphatase-2, transcript variant X1
LOC724546	sodium-coupled monocarboxylate transporter 1
LOC413551	mitochondrial coenzyme A transporter SLC25A42, transcript variant X2
LOC551171	peroxisomal membrane protein 2
LOC724281	probable serine/threonine-protein kinase mps1, transcript variant X2
LOC410432	L-threonine 3-dehydrogenase, mitochondrial
LOC551946	uncharacterized LOC551946, transcript variant X2
LOC107965385	uncharacterized LOC107965385
LOC409327	uncharacterized LOC409327, transcript variant X4
LOC102656560	sperm-tail PG-rich repeat-containing protein 2-like
LOC408308	coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial
LOC413948	tektin-1, transcript variant X1
LOC100578783	uncharacterized LOC100578783
LOC411976	sodium/potassium/calcium exchanger 4, transcript variant X2
LOC102656792	ras-related protein Rab-34-like, transcript variant X1
LOC100578659	uncharacterized LOC100578659
LOC412018	arginyl-tRNA--protein transferase 1, transcript variant X3
LOC102655842	uncharacterized LOC102655842
LOC102654988	uncharacterized LOC102654988
LOC107966071	uncharacterized LOC107966071
LOC413749	serine protease inhibitor 88Ea, transcript variant X1
LOC727025	DNA-directed RNA polymerases I, II, and III subunit RPABC4
LOC100577112	astakine
LOC100578466	uncharacterized LOC100578466, transcript variant X1
LOC406073	homeobox protein prospero, transcript variant X1
GeneID_100315663	microRNA 275
LOC724466	uncharacterized LOC724466, transcript variant X1
LOC409443	serine/threonine-protein phosphatase 2A activator, transcript variant X4
LOC409411	transmembrane protein 41 homolog, transcript variant X1
LOC727524	outer dense fiber protein 3
LOC100578952	protein tilB homolog
LOC410578	sodium- and chloride-dependent glycine transporter 2, transcript variant X4
LOC411380	60S ribosomal protein L30
LOC107965279	pancreatic lipase-related protein 2, transcript variant X2
LOC410542	ras association domain-containing protein 8, transcript variant X2
LOC727282	nucleoside diphosphate-linked moiety X motif 6
LOC724851	LIM domain only protein 3, transcript variant X4
LOC102655751	uncharacterized LOC102655751, transcript variant X2
LOC100578019	uncharacterized LOC100578019, transcript variant X6
LOC100578608	uncharacterized LOC100578608
LOC100577941	uncharacterized LOC100577941, transcript variant X2
LOC552496	polypeptide N-acetylgalactosaminyltransferase 35A
LOC411353	lipase 3
LOC552234	surfeit locus protein 4 homolog
LOC725056	glyoxylate/hydroxypyruvate reductase A, transcript variant X2
GeneID_100629020	microRNA 3779
LOC100578034	uncharacterized LOC100578034
GeneID_100629067	microRNA 3771
GeneID_100629110	microRNA 3723
LOC410413	uncharacterized LOC410413
LOC113218689	5S ribosomal RNA
GeneID_406101	odorant binding protein 4
LOC107964236	SPX and EXS domain-containing protein 4
LOC551572	uncharacterized LOC551572, transcript variant X1
LOC552114	signal recognition particle 54 kDa protein
LOC409979	DNA replication licensing factor Mcm7
LOC552440	histone chaperone asf1
LOC100577755	odorant receptor 30a
LOC113219395	uncharacterized LOC113219395
LOC102653990	uncharacterized LOC102653990
LOC408406	cyclin-dependent kinase 4, transcript variant X4
LOC113218832	uncharacterized LOC113218832
LOC412839	homeobox protein caupolican, transcript variant X2
LOC100579057	translation machinery-associated protein 16 homolog
LOC410648	homeotic protein proboscipedia
LOC410702	endoplasmic reticulum junction formation protein lunapark-B, transcript variant X1
LOC725791	uncharacterized LOC725791
LOC409908	tyrosine-protein kinase CSK, transcript variant X1
LOC409481	ADP-ribosylation factor 1, transcript variant X2
LOC102654050	uncharacterized LOC102654050, transcript variant X2
LOC113219151	uncharacterized LOC113219151, transcript variant X2
LOC408600	nucleobindin-2
LOC107964901	protein NATD1-like, transcript variant X2
LOC551126	protein FAM162B
LOC113219251	uncharacterized LOC113219251
LOC411214	BTB/POZ domain-containing protein kctd15-like, transcript variant X4
LOC410350	angio-associated migratory cell protein, transcript variant X1
LOC551409	uncharacterized LOC551409, transcript variant X1
LOC113219103	probable mitochondrial import inner membrane translocase subunit Tim17 1
LOC411836	exosome complex component RRP42, transcript variant X2
LOC412393	cytosolic non-specific dipeptidase
LOC552256	peroxisomal membrane protein PEX14
LOC413208	rab11 family-interacting protein 2, transcript variant X2
LOC726119	inactive, transcript variant X4
LOC410107	broad-complex core protein isoforms 1/2/3/4/5, transcript variant X1
LOC410198	kinesin-related protein 4, transcript variant X2
GeneID_107964929	tRNA-Asp
GeneID_100628998	microRNA 3747a
LOC100576157	uncharacterized LOC100576157
LOC102656759	uncharacterized LOC102656759
LOC107965622	uncharacterized LOC107965622
LOC412323	stomatin-like protein 2, mitochondrial
LOC100577641	protein snakeskin
LOC409839	regulator of nonsense transcripts 1, transcript variant X3
LOC113218813	uncharacterized LOC113218813
LOC100578651	uncharacterized LOC100578651
LOC726854	serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like
LOC409890	peptidyl-prolyl cis-trans isomerase
LOC100577074	uncharacterized LOC100577074, transcript variant X4
LOC102655419	uncharacterized LOC102655419
LOC100578909	procollagen-lysine,2-oxoglutarate 5-dioxygenase 3, transcript variant X2
GeneID_551077	C1q-like venom protein
LOC102656523	uncharacterized LOC102656523, transcript variant X1
LOC551512	uncharacterized LOC551512
LOC550804	transketolase, transcript variant X2
LOC412013	chorion peroxidase, transcript variant X4
LOC100302106	uncharacterized LOC100302106
LOC727300	low molecular weight phosphotyrosine protein phosphatase, transcript variant X2
LOC100577882	uncharacterized LOC100577882, transcript variant X1
LOC100576116	protein inscuteable homolog
LOC107964314	uncharacterized LOC107964314
